customerid,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,churn,customer_name,country,state,gender,dob,complaint_date,escalations,csat_score,complaint_count
0045-UGIEBT,2021-11-17,Organic,2022-11-17,Basic,Annual,,,8.99,134,34,0,sanjay,India,Gujarat,Male,1986-05-13,2023-02-06,Y,72.0,2.0
0009-XIDDQP,2022-05-24,Paid,2022-06-23,Basic,Monthly,,,8.99,1096,36,0,naveen,India,Kathmandu,Male,1988-10-19,,,,
0027-LXKVKS,2021-08-29,Refferal,2021-09-28,Basic,Monthly,2022-02-03,Not enough content,6.99,566,85,1,sudevi,India,Rajasthan,Female,1976-06-08,,,,
0071-ORKWYK,2021-11-05,Refferal,2022-11-05,Basic,Annual,2022-04-24,Not enough content,8.99,512,86,1,divya,India,Meghalaya,Male,1979-01-07,,,,
0073-FLOTQR,2020-07-13,Organic,2021-07-13,Standard,Annual,,,13.99,1692,10,0,manoj,India,Tamil Nadu,Female,2002-03-17,,,,
0051-BTZCNJ,2022-03-08,Organic,2022-04-07,Basic,Monthly,2024-01-29,Switched to competitor,8.99,179,89,1,suresh,India,Delhi,Male,1978-12-24,,,,
0054-MLHTCL,2021-03-20,Organic,2021-04-19,Basic,Monthly,2021-12-21,Too expensive,7.99,375,90,1,raghvendra,India,Telangana,Male,1994-12-05,2022-06-13,Y,26.0,1.0
0068-SNVUBW,2022-03-20,Paid,2023-03-20,Premium,Annual,2023-07-07,Switched to competitor,22.99,712,97,1,lalita,India,Maharashtra,Female,1968-06-29,,,,
0058-VXCVGP,2023-05-15,Refferal,2023-06-14,Basic,Monthly,,,6.99,873,23,0,sanjay,India,Kathmandu,Male,1998-06-16,2024-02-11,Y,32.0,2.0
0097-TBYQMO,2022-07-08,Paid,2023-07-08,Basic,Annual,2023-12-02,Not enough content,7.99,679,85,1,vikram,India,Kerala,Male,1993-11-04,2023-05-31,N,67.0,1.0
0007-JHQZCP,2023-07-17,Organic,2023-08-16,Premium,Monthly,,,22.99,1701,10,0,pooja,India,Tamil Nadu,Male,2000-07-09,,,,
0057-CXISNE,2021-02-02,Paid,2022-02-02,Standard,Annual,,,17.99,1547,4,0,parvati,India,Telangana,Male,1988-06-13,,,,
0082-IIOKGW,2022-09-05,Organic,2023-09-05,Premium,Annual,2023-01-29,Not enough content,92.99,5393,95,1,seema,India,Rajasthan,Male,1991-02-21,,,,
0016-RVTRNQ,2020-03-14,Paid,2020-04-13,Standard,Monthly,2020-09-30,Too expensive,13.99,657,98,1,vijay,Nepal,Rajasthan,Male,1981-04-07,,,,
0064-UVWAIT,2023-04-29,Organic,2024-04-28,Basic,Annual,2024-07-05,Too expensive,7.99,703,89,1,maya,India,Kathmandu,Female,1972-04-12,,,,
0057-GGZUXF,2021-10-26,Organic,2021-11-25,Standard,Monthly,,,17.99,485,17,0,rakesh,India,Telangana,Female,1999-07-08,2022-11-20,Y,76.0,1.0
0036-CELNVC,2021-02-04,Refferal,2021-03-06,Standard,Monthly,,,13.99,699,7,0,madhav,India,Rajasthan,Male,1983-08-12,,,,
0083-IDAXMV,2020-03-17,Refferal,2021-03-17,Premium,Annual,2021-03-07,Too expensive,22.99,574,85,1,meena,India,Telangana,Male,1965-03-28,2021-09-26,Y,90.0,2.0
0073-GDLPGK,2023-05-30,Organic,2023-06-29,Premium,Monthly,,,22.99,344,25,0,neha,India,Uttar Pradesh,Male,1968-01-14,,,,
0032-TJBGRC,2022-08-09,Refferal,2023-08-09,Premium,Annual,,,22.99,2069,12,0,vikram,India,Delhi,Male,1980-10-21,,,,
0008-SYAFUX,2019-03-16,Organic,2020-03-16,Basic,Annual,,,6.99,838,22,0,sudevi,India,Uttar Pradesh,Female,2001-07-30,2020-06-15,N,66.0,1.0
0043-ZMMYNU,2020-10-19,Refferal,2021-10-19,Basic,Annual,,,7.99,535,39,0,divya,India,Karnataka,Female,1992-01-10,,,,
0021-RJBWJZ,2023-06-29,Organic,2023-07-29,Premium,Monthly,,,20.99,2476,39,0,vishakha,India,Karnataka,Female,1993-08-07,,,,
0056-ABUJJO,2019-06-07,Organic,2020-06-07,Basic,Annual,,,8.99,404,16,0,seema,India,Kerala,Female,1981-08-22,,,,
0003-TMKOGG,2019-10-05,Refferal,2019-11-04,Standard,Monthly,,,16.99,356,21,0,kavita,India,Tamil Nadu,Male,1996-02-18,,,,
0090-BOXWSY,2020-02-16,Refferal,2021-02-16,Basic,Annual,2021-11-04,Forgot to cancel trial,7.99,551,97,1,priya,India,West Bengal,Male,1987-10-28,,,,
0016-PCIZSN,2019-06-01,Paid,2020-06-01,Standard,Annual,2021-02-14,Forgot to cancel trial,13.99,1510,87,1,gopal,India,Punjab,Male,1968-04-23,,,,
0007-VNHEYF,2022-02-02,Paid,2023-02-02,Basic,Annual,,,6.99,517,11,0,sanjay,India,Punjab,Male,1976-03-29,,,,
0074-ERSPVO,2020-03-07,Organic,2020-04-06,Standard,Monthly,,,17.99,1421,19,0,raghav,India,Maharashtra,Female,1999-08-03,,,,
0038-MURHBB,2020-10-02,Organic,2021-10-02,Standard,Annual,,,13.99,1496,24,0,kavita,India,Telangana,Female,1974-02-25,,,,
0013-IMGGCH,2022-03-29,Organic,2022-04-28,Standard,Monthly,,,16.99,1274,30,0,pooja,India,Kathmandu,Female,2003-10-26,,,,
0039-MCKLGP,2019-01-17,Refferal,2019-02-16,Standard,Monthly,,,17.99,1007,26,0,mohan,India,Meghalaya,Female,1991-10-21,2019-03-20,Y,56.0,1.0
0036-BNTHZR,2021-01-18,Refferal,2022-01-18,Basic,Annual,,,6.99,97,9,0,madan,India,Karnataka,Female,1981-09-28,,,,
0060-NDXDYI,2021-11-09,Organic,2022-11-09,Standard,Annual,,,13.99,797,22,0,ramesh,India,Gujarat,Male,1991-08-20,,,,
0053-PUSRAM,2019-12-16,Organic,2020-12-16,Premium,Annual,2020-10-19,Switched to competitor,92.99,9206,86,1,amit,India,Tamil Nadu,Female,1997-05-12,2020-11-11,N,29.0,1.0
0088-FNPMWS,2021-12-12,Paid,2022-01-11,Standard,Monthly,,,17.99,953,35,0,naveen,India,Uttar Pradesh,Female,1990-02-28,2022-10-03,N,38.0,2.0
0098-HFSIJY,2021-03-19,Paid,2022-03-19,Basic,Annual,2021-08-06,Not enough content,7.99,743,89,1,divya,India,Meghalaya,Male,1990-09-22,,,,
0027-FOYSDQ,2020-04-21,Refferal,2021-04-21,Basic,Annual,,,7.99,175,9,0,vikram,India,Nagaland,Male,1995-01-18,2021-09-01,Y,46.0,2.0
0036-QXCONS,2020-01-17,Organic,2020-02-16,Standard,Monthly,2021-10-19,Forgot to cancel trial,13.99,1790,90,1,lalita,India,Kathmandu,Female,1966-08-19,2021-08-05,N,27.0,2.0
0042-ELGETU,2021-11-21,Paid,2022-11-21,Basic,Annual,,,6.99,188,31,0,usha,India,Delhi,Male,2003-05-29,2021-12-07,N,59.0,1.0
0057-TYHSAQ,2021-04-10,Organic,2022-04-10,Premium,Annual,,,92.99,11809,19,0,swati,India,Maharashtra,Female,1970-04-21,2021-11-30,Y,71.0,1.0
0058-TPKOMN,2019-06-17,Organic,2020-06-17,Standard,Annual,2021-03-15,Switched to competitor,13.99,1622,93,1,neha,India,West Bengal,Female,1995-07-09,,,,
0025-ODINDF,2021-11-17,Paid,2021-12-17,Standard,Monthly,,,17.99,2032,20,0,vikram,India,Karnataka,Male,1984-12-25,,,,
0050-GAFBLS,2023-04-24,Refferal,2024-04-24,Premium,Annual,,,22.99,1540,25,0,asha,India,Karnataka,Female,1966-06-04,2024-11-06,Y,93.0,2.0
0067-DZVTZM,2020-12-09,Refferal,2021-01-08,Standard,Monthly,,,17.99,1924,8,0,divya,Nepal,Kathmandu,Male,1982-01-06,2022-02-21,Y,40.0,2.0
0057-PSBTKG,2023-02-07,Organic,2024-02-07,Standard,Annual,2023-09-01,Forgot to cancel trial,13.99,867,89,1,raju,India,Delhi,Male,1977-12-23,2023-08-15,N,81.0,2.0
0067-IKDJTM,2021-04-25,Paid,2021-05-25,Premium,Monthly,,,22.99,827,22,0,madhav,India,Punjab,Female,1971-06-24,,,,
0057-WCSEGR,2022-02-18,Refferal,2022-03-20,Standard,Monthly,,,16.99,815,1,0,seema,India,Punjab,Male,1973-06-10,2022-06-28,N,41.0,1.0
0050-XOUJNJ,2023-01-19,Paid,2023-02-18,Standard,Monthly,,,16.99,254,37,0,rikim,India,Uttar Pradesh,Female,1985-11-27,,,,
0094-DGYPKD,2022-09-02,Organic,2023-09-02,Standard,Annual,,,16.99,1732,32,0,anil,India,Kathmandu,Male,2002-05-20,,,,
